domain,ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win
Arts_and_Entertainment,"[(10, 7), (11, 10)]",14.226996421813965,16.765666961669922,-2.538670539855957,2.1344664096832275,3.3534152507781982,2.4121570587158203,71.0,538.0
Autos_and_Vehicles,"[(10, 7), (11, 10)]",14.034784317016602,13.296528816223145,0.7382567524909973,1.1384541988372803,1.4562045335769653,1.771353840827942,1170.0,558.0
Books_and_Literature,"[(10, 7), (11, 10)]",13.946179389953613,15.517441749572754,-1.5712611675262451,1.2616603374481201,2.533573627471924,1.9070820808410645,1.0,14.0
Business_and_Industrial,"[(10, 7), (11, 10)]",13.394068717956543,15.026362419128418,-1.6322945356369019,2.0186166763305664,2.638862371444702,2.9692046642303467,71.0,191.0
Computers_and_Electronics,"[(10, 7), (11, 10)]",14.10233211517334,12.941848754882812,1.1604825258255005,1.368641972541809,1.6199873685836792,1.9349782466888428,921.0,319.0
Finance,"[(10, 7), (11, 10)]",13.422860145568848,13.019597053527832,0.4032629430294037,1.5261890888214111,1.8670308589935303,2.6005537509918213,10.0,6.0
Food_and_Drink,"[(10, 7), (11, 10)]",12.922647476196289,15.132630348205566,-2.209987163543701,2.4006199836730957,3.5563466548919678,5.451011657714844,4.0,8.0
Games,"[(10, 7), (11, 10)]",12.984968185424805,13.58726978302002,-0.6023027896881104,1.7514562606811523,2.543445110321045,3.016939401626587,66.0,86.0
Health,"[(10, 7), (11, 10)]",12.366607666015625,17.42207908630371,-5.055472373962402,1.7715462446212769,3.1785621643066406,3.0446598529815674,0.0,23.0
Internet_and_Telecom,"[(10, 7), (11, 10)]",14.250628471374512,13.396809577941895,0.8538206219673157,1.593643069267273,2.0618066787719727,2.4490206241607666,120.0,61.0
Jobs_and_Education,"[(10, 7), (11, 10)]",13.662717819213867,15.907761573791504,-2.245044708251953,2.1573214530944824,3.2682273387908936,2.7303338050842285,92.0,313.0
Law_and_Government,"[(10, 7), (11, 10)]",14.016459465026855,17.718278884887695,-3.7018206119537354,2.2987990379333496,3.128392457962036,2.7205798625946045,39.0,438.0
News,"[(10, 7), (11, 10)]",13.999953269958496,15.88316535949707,-1.8832128047943115,2.145087718963623,2.9132659435272217,2.6810619831085205,37.0,126.0
Online_Communities,"[(10, 7), (11, 10)]",15.300300598144531,12.357501983642578,2.9427971839904785,1.204607605934143,2.5713794231414795,2.2620580196380615,17.0,3.0
People_and_Society,"[(10, 7), (11, 10)]",13.999170303344727,16.208377838134766,-2.2092080116271973,2.313337564468384,3.1408820152282715,2.7262942790985107,53.0,242.0
Real_Estate,"[(10, 7), (11, 10)]",12.868016242980957,14.462379455566406,-1.5943622589111328,0.6019096374511719,0.08070892840623856,0.6461186408996582,0.0,3.0
Science,"[(10, 7), (11, 10)]",12.760673522949219,15.101839065551758,-2.3411641120910645,1.8402831554412842,2.9606311321258545,3.5348803997039795,3.0,25.0
Sensitive_Subjects,"[(10, 7), (11, 10)]",11.981839179992676,18.25773048400879,-6.275892734527588,2.1204583644866943,2.3861751556396484,2.227397918701172,0.0,58.0
Sports,"[(10, 7), (11, 10)]",14.722879409790039,16.836332321166992,-2.1134517192840576,2.0514979362487793,3.261995553970337,2.913832902908325,42.0,128.0
Travel_and_Transportation,"[(10, 7), (11, 10)]",14.272500038146973,17.369245529174805,-3.0967440605163574,2.636089563369751,2.837834596633911,3.139777421951294,5.0,37.0
